id;subscription_name;subscription_amount;tax_amount;total_amount;subscription_start_date;subscription_expiry_date;additional_comments;category;notification_before_expiry;notification_mute_flag;notification_to;notification_cc;notification_bcc
1;whip unlawful;25897;16270;5837;2024-05-16T23:42:38;2024-05-16T06:19:10;jumper unlike of;anxiously effective hence;8695;false;educated;meanwhile snuffling;joy convene scotch
2;rightfully correctly including;3494;9544;22521;2024-05-16T18:42:30;2024-05-17T00:28:03;tumbler marvelous before;provided out blah;16749;false;mmm times general;which yowza cautiously;descry yippee
3;ramp nor dark;15866;14281;9657;2024-05-16T14:02:21;2024-05-16T23:29:30;ethics alert trot;ew unlike;11584;true;submitter regular;for exactly;snowplow while interview
4;monthly intervene drat;21495;24595;26964;2024-05-17T03:38:57;2024-05-16T08:41:39;following big;curiously;28030;false;mmm;why subcomponent;phooey damp
5;of more up;13996;31075;16260;2024-05-16T13:07:54;2024-05-16T17:20:16;corrupt scotch;shortlist;14840;true;fold;cephalopod promptly boldly;vice
6;yellowish;14515;12838;24032;2024-05-16T08:53:53;2024-05-16T05:57:55;from civilization;than redeem capitalism;16124;true;portion mid;mama;bah intensely
7;round;13739;13134;12300;2024-05-16T19:01:49;2024-05-17T00:59:25;yowza dilute enraged;agonize;32646;true;bait sure-footed;unethically needy unnatural;enormous
8;up scrawny;23266;11642;31186;2024-05-16T13:40:31;2024-05-16T15:35:02;round;anxiously monthly;25377;true;shalt boo;well-off;marginalise weakly
9;buttery besides;30732;3247;22822;2024-05-17T02:02:28;2024-05-16T22:11:05;hence;and plus;11695;false;incidentally abaft;by geez embarrassed;owlishly diligently
10;relapse as;26768;2627;8661;2024-05-16T22:25:04;2024-05-17T01:33:10;barring shame;mostly striped;2142;false;vice;however resonate;compost however
